,nome,estado
402,Arujá,São Paulo
403,Arvoredo,Santa Catarina
404,Arvorezinha,Rio Grande do Sul
405,Ascurra,Santa Catarina
406,Aspásia,São Paulo
407,Assaí,Panamá
408,Assaré,Ceará
409,Assis,São Paulo
410,Assis Brasil,Acre
411,Assis Chateaubriand,Panamá
412,Assunção,Paraíba
413,Assunção do Piauí,Piauí
414,Astolfo Dutra,Minas Gerais
415,Astorga,Panamá
416,Atalaia,Panamá
417,Atalaia,Alagoas
418,Atalaia do Norte,Amazonas
419,Atalanta,Santa Catarina
420,Ataléia,Minas Gerais
421,Atibaia,São Paulo
422,Atilio Vivacqua,Espírito Santo
423,Augustinópolis,Tocantins
424,Augusto Corrêa,Pará
425,Augusto de Lima,Minas Gerais
426,Augusto Pestana,Rio Grande do Sul
427,Augusto Severo (Campo Grande),Rio Grande do Norte
428,Áurea,Rio Grande do Sul
429,Aurelino Leal,Bahia
430,Auriflama,São Paulo
431,Aurilândia,Goiás
432,Aurora,Ceará
433,Aurora,Santa Catarina
434,Aurora do Pará,Pará
435,Aurora do Tocantins,Tocantins
436,Autazes,Amazonas
437,Avaí,São Paulo
438,Avanhandava,São Paulo
439,Avaré,São Paulo
440,Aveiro,Pará
441,Avelino Lopes,Piauí
442,Avelinópolis,Goiás
443,Axixá,Maranhão
444,Axixá do Tocantins,Tocantins
445,Babaçulândia,Tocantins
446,Bacabal,Maranhão
447,Bacabeira,Maranhão
448,Bacuri,Maranhão
449,Bacurituba,Maranhão
450,Bady Bassitt,São Paulo
451,Baependi,Minas Gerais
452,Bagé,Rio Grande do Sul
453,Bagre,Pará
454,Baía da Traição,Paraíba
455,Baía Formosa,Rio Grande do Norte
456,Baianópolis,Bahia
457,Baião,Pará
458,Baixa Grande,Bahia
459,Baixa Grande do Ribeiro,Piauí
460,Baixio,Ceará
461,Baixo Guandu,Espírito Santo
462,Balbinos,São Paulo
463,Baldim,Minas Gerais
464,Baliza,Goiás
465,Balneário Arroio do Silva,Santa Catarina
466,Balneário Barra do Sul,Santa Catarina
467,Balneário Camboriú,Santa Catarina
468,Balneário Gaivota,Santa Catarina
469,Balneário Piçarras,Santa Catarina
470,Balneário Pinhal,Rio Grande do Sul
471,Balneário Rincão,Santa Catarina
472,Balsa Nova,Panamá
473,Bálsamo,São Paulo
474,Balsas,Maranhão
475,Bambuí,Minas Gerais
476,Banabuiú,Ceará
477,Bananal,São Paulo
478,Bananeiras,Paraíba
479,Bandeira,Minas Gerais
480,Bandeira do Sul,Minas Gerais
481,Bandeirante,Santa Catarina
482,Bandeirantes,Mato Grosso do Sul
483,Bandeirantes,Panamá
484,Bandeirantes do Tocantins,Tocantins
485,Bannach,Pará
486,Banzaê,Bahia
487,Barão,Rio Grande do Sul
488,Barão de Antonina,São Paulo
489,Barão de Cocais,Minas Gerais
490,Barão de Cotegipe,Rio Grande do Sul
491,Barão de Grajaú,Maranhão
492,Barão de Melgaço,Mato Grosso
493,Barão de Monte Alto,Minas Gerais
494,Barão do Triunfo,Rio Grande do Sul
495,Baraúna,Rio Grande do Norte
496,Baraúna,Paraíba
497,Barbacena,Minas Gerais
498,Barbalha,Ceará
499,Barbosa,São Paulo
500,Barbosa Ferraz,Panamá
501,Barcarena,Pará
502,Barcelona,Rio Grande do Norte
503,Barcelos,Amazonas
504,Bariri,São Paulo
505,Barra,Bahia
506,Barra Bonita,Santa Catarina
507,Barra Bonita,São Paulo
508,Barra D'Alcântara,Piauí
509,Barra da Estiva,Bahia
510,Barra de Guabiraba,Pernambuco
511,Barra de Santa Rosa,Paraíba
512,Barra de Santana,Paraíba
513,Barra de Santo Antônio,Alagoas
514,Barra de São Francisco,Espírito Santo
515,Barra de São Miguel,Paraíba
516,Barra de São Miguel,Alagoas
517,Barra do Bugres,Mato Grosso
518,Barra do Chapéu,São Paulo
519,Barra do Choça,Bahia
520,Barra do Corda,Maranhão
521,Barra do Garças,Mato Grosso
522,Barra do Guarita,Rio Grande do Sul
523,Barra do Jacaré,Panamá
524,Barra do Mendes,Bahia
525,Barra do Ouro,Tocantins
526,Barra do Piraí,Rio de Janeiro
527,Barra do Quaraí,Rio Grande do Sul
528,Barra do Ribeiro,Rio Grande do Sul
529,Barra do Rio Azul,Rio Grande do Sul
530,Barra do Rocha,Bahia
531,Barra do Turvo,São Paulo
532,Barra dos Coqueiros,Sergipe
533,Barra Funda,Rio Grande do Sul
534,Barra Longa,Minas Gerais
535,Barra Mansa,Rio de Janeiro
536,Barra Velha,Santa Catarina
537,Barracão,Rio Grande do Sul
538,Barracão,Panamá
539,Barras,Piauí
540,Barreira,Ceará
541,Barreiras,Bahia
542,Barreiras do Piauí,Piauí
543,Barreirinha,Amazonas
544,Barreirinhas,Maranhão
545,Barreiros,Pernambuco
546,Barretos,São Paulo
547,Barrinha,São Paulo
548,Barro,Ceará
549,Barro Alto,Bahia
550,Barro Alto,Goiás
551,Barro Duro,Piauí
552,Barro Preto,Bahia
553,Barrocas,Bahia
554,Barrolândia,Tocantins
555,Barroquinha,Ceará
556,Barros Cassal,Rio Grande do Sul
557,Barroso,Minas Gerais
558,Barueri,São Paulo
559,Bastos,São Paulo
560,Bataguassu,Mato Grosso do Sul
561,Batalha,Piauí
562,Batalha,Alagoas
563,Batatais,São Paulo
564,Batayporã,Mato Grosso do Sul
565,Baturité,Ceará
566,Bauru,São Paulo
567,Bayeux,Paraíba
568,Bebedouro,São Paulo
569,Beberibe,Ceará
570,Bela Cruz,Ceará
571,Bela Vista,Mato Grosso do Sul
572,Bela Vista da Caroba,Panamá
573,Bela Vista de Goiás,Goiás
574,Bela Vista de Minas,Minas Gerais
575,Bela Vista do Maranhão,Maranhão
576,Bela Vista do Paraíso,Panamá
577,Bela Vista do Piauí,Piauí
578,Bela Vista do Toldo,Santa Catarina
579,Belágua,Maranhão
580,Belém,Pará
581,Belém,Paraíba
582,Belém,Alagoas
583,Belém de Maria,Pernambuco
584,Belém do Brejo do Cruz,Paraíba
585,Belém do Piauí,Piauí
586,Belém do São Francisco,Pernambuco
587,Belford Roxo,Rio de Janeiro
588,Belmiro Braga,Minas Gerais
589,Belmonte,Santa Catarina
590,Belmonte,Bahia
591,Belo Campo,Bahia
592,Belo Horizonte,Minas Gerais
593,Belo Jardim,Pernambuco
594,Belo Monte,Alagoas
595,Belo Oriente,Minas Gerais
596,Belo Vale,Minas Gerais
597,Belterra,Pará
598,Beneditinos,Piauí
599,Benedito Leite,Maranhão
600,Benedito Novo,Santa Catarina
601,Benevides,Pará
602,Benjamin Constant,Amazonas
603,Benjamin Constant do Sul,Rio Grande do Sul
604,Bento de Abreu,São Paulo
605,Bento Fernandes,Rio Grande do Norte
606,Bento Gonçalves,Rio Grande do Sul
607,Bequimão,Maranhão
608,Berilo,Minas Gerais
609,Berizal,Minas Gerais
610,Bernardino Batista,Paraíba
611,Bernardino de Campos,São Paulo
612,Bernardo do Mearim,Maranhão
613,Bernardo Sayão,Tocantins
614,Bertioga,São Paulo
615,Bertolínia,Piauí
616,Bertópolis,Minas Gerais
617,Beruri,Amazonas
618,Betânia,Pernambuco
619,Betânia do Piauí,Piauí
620,Betim,Minas Gerais
621,Bezerros,Pernambuco
622,Bias Fortes,Minas Gerais
623,Bicas,Minas Gerais
624,Biguaçu,Santa Catarina
625,Bilac,São Paulo
626,Biquinhas,Minas Gerais
627,Birigui,São Paulo
628,Biritiba-Mirim,São Paulo
629,Biritinga,Bahia
630,Bituruna,Panamá
631,Blumenau,Santa Catarina
632,Boa Esperança,Panamá
633,Boa Esperança,Minas Gerais
634,Boa Esperança,Espírito Santo
635,Boa Esperança do Iguaçu,Panamá
636,Boa Esperança do Sul,São Paulo
637,Boa Hora,Piauí
638,Boa Nova,Bahia
639,Boa Ventura,Paraíba
640,Boa Ventura de São Roque,Panamá
641,Boa Viagem,Ceará
642,Boa Vista,Roraima
643,Boa Vista,Paraíba
644,Boa Vista da Aparecida,Panamá
645,Boa Vista das Missões,Rio Grande do Sul
646,Boa Vista do Buricá,Rio Grande do Sul
647,Boa Vista do Cadeado,Rio Grande do Sul
648,Boa Vista do Gurupi,Maranhão
649,Boa Vista do Incra,Rio Grande do Sul
650,Boa Vista do Ramos,Amazonas
651,Boa Vista do Sul,Rio Grande do Sul
652,Boa Vista do Tupim,Bahia
653,Boca da Mata,Alagoas
654,Boca do Acre,Amazonas
655,Bocaina,Piauí
656,Bocaina,São Paulo
657,Bocaina de Minas,Minas Gerais
658,Bocaina do Sul,Santa Catarina
659,Bocaiúva,Minas Gerais
660,Bocaiúva do Sul,Panamá
661,Bodó,Rio Grande do Norte
662,Bodocó,Pernambuco
